,sorted_formula,host_material,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
2980,Ni,Ni,ZT,,[0.5],[873.0],0.5,873.0,JMC_data
2981,CoSSb,CoSSb,ZT,,[0.5],[873],0.5,873.0,JMC_data
2982,NbNi2ScSn2,NbNi2ScSn2,ZT,,[0.5],[700.0],0.5,700.0,JMC_data
2983,NiSnTi,NiSnTi,ZT,,[0.5],[700.0],0.5,700.0,JMC_data
2984,CdPb50Te50,PbTe,ZT,,[1.5],[723.0],1.5,723.0,JMC_data
2985,CdPb50Te50,PbTe,ZT,,[1.5],[723.0],1.5,723.0,JMC_data
2986,CdPb50Te50,PbTe,ZT,,[0.93],[673.0],0.93,673.0,JMC_data
2987,CdPb50Te50,PbTe,ZT,,[1.0],[323.0],1.0,323.0,JMC_data
2988,S2Sn,S2Sn,ZT,,[1.87],[800.0],1.87,800.0,JMC_data
2989,S2Sn,S2Sn,ZT,,[1.87],[800.0],1.87,800.0,JMC_data
2990,L,None,ZT,,[0.22],[295],0.22,295.0,JMC_data
2991,S2Sn,S2Sn,ZT,,[0.19],[300.0],0.19,300.0,JMC_data
2992,L,None,ZT,,[1.87],[800.0],1.87,800.0,JMC_data
2993,S2Sn,S2Sn,ZT,,[1.87],[800.0],1.87,800.0,JMC_data
2994,SrTe,SrTe,ZT,,[1.7],[800.0],1.7000000000000002,800.0,JMC_data
2995,Bi2Te3,Bi2Te3,ZT,,[2.4],[295],2.4,295.0,JMC_data
2996,Pb93S50Sb5Se50,Pb2SSe,ZT,,[1.7],[900.0],1.7000000000000002,900.0,JMC_data
2997,Pb93S50Sb5Se50,Pb2SSe,ZT,,[1.7],[900.0],1.7000000000000002,900.0,JMC_data
2998,Mg,Mg,ZT,,[1.0],[710.0],1.0,710.0,JMC_data
2999,InMg8Pb60Sn131Te200,PbSn4Te5,ZT,,[0.6],"[300.0, 710.0]",0.6000000000000001,505.0,JMC_data
3000,SnTe,SnTe,ZT,,[0.35],[295],0.35000000000000003,295.0,JMC_data
3001,InMg8Pb60Sn131Te200,PbSn4Te5,ZT,,[0.6],"[300.0, 710.0]",0.6000000000000001,505.0,JMC_data
3002,Pb3Sn7Te10,PbSn4Te5,ZT,,[0.6],[716.0],0.6000000000000001,716.0,JMC_data
3003,SnTe,SnTe,ZT,,[0.35],[710.0],0.35000000000000003,710.0,JMC_data
3004,Mg,Mg,ZT,,[1.0],[710.0],1.0,710.0,JMC_data
3005,CoSb3,CoSb3,ZT,,[1.54],[873.0],1.54,873.0,JMC_data
3006,CoSb3,CoSb3,ZT,,[1.54],[873.0],1.54,873.0,JMC_data
3007,CoSb3,CoSb3,ZT,,[0.28],[873.0],0.28,873.0,JMC_data
3008,CoSb3,CoSb3,ZT,,[1.54],[873.0],1.54,873.0,JMC_data
3009,Ba18Ce5Co400Sb1202,CoSb3,ZT,,[1.26],[850.0],1.26,850.0,JMC_data
3010,Ba18Ce5Co400Sb1202,CoSb3,ZT,,[1.26],[850.0],1.26,850.0,JMC_data
3011,Ba18Ce5Co400Sb1202,CoSb3,ZT,,[1.0],"[700.0, 850.0]",1.0,775.0,JMC_data
3012,Ba18Ce5Co400Sb1202,CoSb3,ZT,,[1.26],[850.0],1.26,850.0,JMC_data
3013,PbS3Sn,PbS3Sn,ZT,,[0.44],[650.0],0.44,650.0,JMC_data
3014,PbS3Sn,PbS3Sn,ZT,,[0.44],[650.0],0.44,650.0,JMC_data
3015,S2Ti,S2Ti,ZT,,[0.4],[650.0],0.4,650.0,JMC_data
3016,pure,None,ZT,,[0.7],[775.0],0.7000000000000001,775.0,JMC_data
3017,Mg2Si,Mg2Si,ZT,,[0.75],[750.0],0.75,750.0,JMC_data
3018,Na3Se100Sn97,SeSn,ZT,,[0.8],[830.0],0.8,830.0,JMC_data
