,sorted_formula,host_material,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
1475,Na,Na,Seebeck,,[7e-05],[300.0],7.000000000000001e-05,300.0,JMC_data
1476,CoSi,CoSi,Seebeck,,[-7.999999999999999e-05],[773.0],-8e-05,773.0,JMC_data
1477,DEOPT,None,Seebeck,,"[1.2499999999999999e-05, 1.4199999999999998e-05]",[295],1.335e-05,295.0,JMC_data
1478,DEOPT,None,Seebeck,,[1.265e-05],[295],1.265e-05,295.0,JMC_data
1479,DEOPT,None,Seebeck,,[2.07e-05],[295],2.07e-05,295.0,JMC_data
1480,Co16Sb47Te,CoSb3,Seebeck,,[-0.000222],[673.0],-0.00022200000000000006,673.0,JMC_data
1481,Co16Sb47Te,CoSb3,Seebeck,,[-0.00015999999999999999],[323.0],-0.00016,323.0,JMC_data
1482,Cu7Te4,Cu7Te4,Seebeck,,[3.1e-05],[650.0],3.1e-05,650.0,JMC_data
1483,Al14Ba8Si31,None,Seebeck,,[-4.9e-05],[295],-4.9e-05,295.0,JMC_data
1484,Al2Si2Sr,Al2Si2Sr,Seebeck,,[9.999999999999999e-05],[130.0],0.0001,130.0,JMC_data
1485,HfSe2,HfSe2,Seebeck,,[0.000232],[600.0],0.000232,600.0,JMC_data
1486,S2Zr,S2Zr,Seebeck,,[0.00028199999999999997],[800.0],0.00028199999999999997,800.0,JMC_data
1487,Se2Zr,Se2Zr,Seebeck,,[6.4e-05],[300.0],6.4e-05,300.0,JMC_data
1488,As2Ru,As2Ru,Seebeck,,[-0.00035],[295],-0.00035000000000000005,295.0,JMC_data
1489,NaPb49Se50,PbSe,Seebeck,,[1.8999999999999998e-05],[310.0],1.9e-05,310.0,JMC_data
1490,NaPb49Se50,PbSe,Seebeck,,[3.7e-05],[310.0],3.7e-05,310.0,JMC_data
1491,NaPb49Se50,PbSe,Seebeck,,[0.00023799999999999998],[860.0],0.00023799999999999998,860.0,JMC_data
1492,NaPb49Se50,PbSe,Seebeck,,[0.000168],[860.0],0.000168,860.0,JMC_data
1493,S2Ti,S2Ti,Seebeck,,[-0.000153],[300.0],-0.000153,300.0,JMC_data
1494,Gd3Sn47Te50,SnTe,Seebeck,,[0.00015999999999999999],[873.0],0.00016,873.0,JMC_data
1495,NTi,NTi,Seebeck,,[-7.8e-06],[300.0],-7.8e-06,300.0,JMC_data
1496,Cr2O3,Cr2O3,Seebeck,,[0.00075],[1300.0],0.00075,1300.0,JMC_data
1497,Cr3Pb197Se50Te150,Pb5SeTe4,Seebeck,,[-0.00021999999999999998],[295],-0.00022,295.0,JMC_data
1498,BiSb3Te6,BiSb3Te6,Seebeck,,[0.00015],[300.0],0.00015,300.0,JMC_data
1499,Al2O3,Al2O3,Seebeck,,[-0.18],[673.0],-0.18,673.0,JMC_data
1500,Ca3Co4O9,Ca3Co4O9,Seebeck,,[0.0825],[1073.0],0.0825,1073.0,JMC_data
1501,OZn,OZn,Seebeck,,[-5.9999999999999995e-05],[295],-6.000000000000002e-05,295.0,JMC_data
