,sorted_formula,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
1786,BiCo75Fe25Sb299,Conductivity,,[100000.0],[295],100000.0,295.0,JMC_data
1787,Cu7GeISe5,Conductivity,,[64.0],[300.0],64.0,300.0,JMC_data
1788,Se,Conductivity,,"[2220.0, 6240.0]",[650.0],4230.0,650.0,JMC_data
1789,DEOPT,Conductivity,,[1487.0],[300.0],1487.0,300.0,JMC_data
1790,DEOPT,Conductivity,,[1804.0],[300.0],1804.0,300.0,JMC_data
1791,DEOPT,Conductivity,,"[50.0, 300.0]",[300.0],175.0,300.0,JMC_data
1792,DEOPT,Conductivity,,"[10.0, 310.0]",[300.0],160.0,300.0,JMC_data
1793,DEOPT,Conductivity,,[1400.0],[295],1400.0,295.0,JMC_data
1794,DEOPT,Conductivity,,[70000.0],[295],70000.0,295.0,JMC_data
1795,BiSb3Te6,Conductivity,,[334100.0],[295],334100.0,295.0,JMC_data
1796,BiRhZr,Conductivity,,[87000.0],[295],87000.0,295.0,JMC_data
1797,CuO,Conductivity,,[22.2],[310.0],22.2,310.0,JMC_data
1798,BST,Conductivity,,[58000.0],[298.0],58000.0,298.0,JMC_data
1799,PbTe,Conductivity,,[2370.0],[710.0],2370.0,710.0,JMC_data
1800,Cl2Pb,Conductivity,,[191600.0],[300.0],191600.0,300.0,JMC_data
1801,Cl2Pb,Conductivity,,[191600.0],[300.0],191600.0,300.0,JMC_data
1802,Cl2Pb,Conductivity,,[118500.0],[300.0],118500.0,300.0,JMC_data
1803,CoSb3,Conductivity,,"[60000.0, 65000.0]",[300.0],62500.0,300.0,JMC_data
1804,CoSb3,Conductivity,,[75000.0],[300.0],75000.0,300.0,JMC_data
1805,Bi3SbTe6,Conductivity,,[61500.0],[300.0],61500.0,300.0,JMC_data
1806,Cu3NbS4,Conductivity,,[14.0],[306.0],14.0,306.0,JMC_data
1807,Cu3NbS4,Conductivity,,[202.0],[323.0],202.0,323.0,JMC_data
1808,Cu2Te,Conductivity,,[40000.0],[300.0],40000.0,300.0,JMC_data
1809,Ba5Ce4O15Y,Conductivity,,[0.329],[973.0],0.329,973.0,JMC_data
1810,PbTe,Conductivity,,[44400.0],"[300.0, 500.0]",44400.0,400.0,JMC_data
