,sorted_formula,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
2619,FeSbV,ThermCond,total,[1.18],[300.0],1.18,300.0,JMC_data
2620,FeSbV,ThermCond,total,[1.18],[300.0],1.18,300.0,JMC_data
2621,FeSbV,ThermCond,total,"[2.2, 10.3]",[300.0],6.25,300.0,JMC_data
2622,FeSbV,ThermCond,total,[1.18],[300.0],1.18,300.0,JMC_data
2623,GeTe,ThermCond,total,[8.6],[295],8.6,295.0,JMC_data
2624,Bi3Ge22Te25,ThermCond,total,[1.0],[300.0],1.0,300.0,JMC_data
2625,GeTe,ThermCond,lattice,[1.9],[740.0],1.9,740.0,JMC_data
2626,SSn,ThermCond,total,[0.65],[800.0],0.65,800.0,JMC_data
2627,AgPb10SbTe12,ThermCond,total,"[0.75, 0.39]",[660.0],0.5700000000000001,660.0,JMC_data
2628,Bi10Cu10O10Se9Te,ThermCond,total,[0.3],[873.0],0.30000000000000004,873.0,JMC_data
2629,BiCuOSe,ThermCond,lattice,[0.47],[300.0],0.47,300.0,JMC_data
2630,Ge25Mg100SbSi25,ThermCond,total,[2.3],[723.0],2.3,723.0,JMC_data
2631,Mo150Ni3Sb270Te80,ThermCond,total,[5.4],[295],5.4,295.0,JMC_data
2632,CNT,ThermCond,total,[5.1],[325.0],5.1,325.0,JMC_data
2633,SSn,ThermCond,lattice,[0.14],[300.0],0.14,300.0,JMC_data
2634,SSn,ThermCond,lattice,[1.1],[300.0],1.1,300.0,JMC_data
2635,PbS,ThermCond,lattice,[0.77],[923.0],0.77,923.0,JMC_data
2636,PbS,ThermCond,lattice,[0.57],[923.0],0.5700000000000001,923.0,JMC_data
2637,PbS,ThermCond,lattice,[1.33],[923.0],1.33,923.0,JMC_data
2638,Pb49S50Sb,ThermCond,electronic,[1.06],[295],1.06,295.0,JMC_data
2639,AgIn5Te8,ThermCond,total,[1.1],[295],1.1,295.0,JMC_data
2640,AgIn5Te8,ThermCond,total,[0.5],[873.0],0.5,873.0,JMC_data
2641,AgIn5Te8,ThermCond,total,"[0.4, 0.5]",[873.0],0.45,873.0,JMC_data
2642,AgIn5Te8,ThermCond,total,[0.5],[873.0],0.5,873.0,JMC_data
2643,AgIn5Te8,ThermCond,total,[1.1],[295],1.1,295.0,JMC_data
2644,AgIn5Te8,ThermCond,total,[0.5],[873.0],0.5,873.0,JMC_data
2645,CNTs,ThermCond,total,[0.3],[295],0.30000000000000004,295.0,JMC_data
2646,C2O,ThermCond,total,[3.14],[295],3.14,295.0,JMC_data
2647,GaPd,ThermCond,total,[50.0],[295],50.0,295.0,JMC_data
2648,AlGeLi,ThermCond,total,[2.4],[400.0],2.4,400.0,JMC_data
2649,NiSnTi,ThermCond,total,[3.42],[773.0],3.42,773.0,JMC_data
2650,NiSnTi,ThermCond,lattice,[5.0],[295],5.0,295.0,JMC_data
2651,O2Th,ThermCond,lattice,[1.81],[300.0],1.81,300.0,JMC_data
2652,CoSSb,ThermCond,total,[9.59],[295],9.59,295.0,JMC_data
2653,Co100S100Sb93Te7,ThermCond,total,[7.45],[295],7.45,295.0,JMC_data
2654,Co100S100Sb93Te7,ThermCond,lattice,[7.34],[295],7.34,295.0,JMC_data
2655,Co100S100Sb93Te7,ThermCond,lattice,[2.23],[295],2.23,295.0,JMC_data
2656,Co100S100Sb93Te7,ThermCond,lattice,[7.34],[295],7.34,295.0,JMC_data
2657,Cu2GeSe3,ThermCond,total,[2.18],[295],2.18,295.0,JMC_data
2658,O9SZn100,ThermCond,total,[4.0],[973.0],4.0,973.0,JMC_data
2659,AlO50Zn49,ThermCond,total,[2.1],[1073.0],2.1,1073.0,JMC_data
2660,AgSe200Sn99,ThermCond,total,[1.0],[773.0],1.0,773.0,JMC_data
2661,Mg100SbSn49,ThermCond,lattice,[5.2],[295],5.2,295.0,JMC_data
2662,Mg100SbSn49,ThermCond,total,[7.0],[295],7.0,295.0,JMC_data
2663,Mg100SbSn49,ThermCond,lattice,[5.2],[295],5.2,295.0,JMC_data
