,composition_name,original_file_name
104,Al2Ba5Ge7,POSCAR_sg12_icsd_417659
105,O4Pd3Tl1,POSCAR_sg225_icsd_002276
106,H2I3K1O1,POSCAR_sg7_icsd_026338
107,H12Al2Cl6N4,POSCAR_sg62_icsd_072286
108,H2B10Ba2Na2O19,POSCAR_sg5_icsd_095447
109,Nb1O3Rb1,POSCAR_sg2_icsd_200854
110,I6K2Tc1,POSCAR_sg14_icsd_065510
111,C8H18N10O10S1U1,POSCAR_sg11_icsd_152158
112,B12Br12Na2O16S8,POSCAR_sg14_icsd_168495
113,O10Sr1V4,POSCAR_sg2_icsd_408096
114,Ag1Cs2I3,POSCAR_sg62_icsd_150291
115,H51Li4N17Pb9,POSCAR_sg14_icsd_279633
116,C1P2V4,POSCAR_sg189_icsd_042388
117,N12Ne7,POSCAR_sg166_icsd_193359
118,K1O12P3Ti2,POSCAR_sg198_icsd_023529
119,C6I8O6Re4,POSCAR_sg15_icsd_201488
120,K4O14S3U1,POSCAR_sg62_icsd_014062
121,C3Na3O9Y1,POSCAR_sg40_icsd_237769
122,Cl2Nb1S2,POSCAR_sg12_icsd_010484
123,Cl16Mo4O2,POSCAR_sg13_icsd_065309
124,H8Cl4O4Sn1,POSCAR_sg9_icsd_413632
125,C1Cl8Sc5,POSCAR_sg12_icsd_060855
126,H6Cl8Hg3N2Pt1,POSCAR_sg15_icsd_071141
127,C6Ce12I17,POSCAR_sg15_icsd_409836
128,F44K16O16P4Ti10,POSCAR_sg14_icsd_173308
129,F18N1O4S2Sb3Xe1,POSCAR_sg14_icsd_059128
130,Ir1Si3,POSCAR_sg186_icsd_026218
131,Cl5Cs2Li3,POSCAR_sg44_icsd_245973
132,Cl1F5Ge1O2,POSCAR_sg20_icsd_060108
133,Ni3O14P4Sr1,POSCAR_sg14_icsd_280580
134,Ba2O24P4V5,POSCAR_sg8_icsd_086183
135,Br11Sm5,POSCAR_sg11_icsd_056813
136,Cr4Sc2Si5,POSCAR_sg72_icsd_054107
137,Na1O8P1W2,POSCAR_sg11_icsd_093368
138,Ag3As1S3,POSCAR_sg161_icsd_061806
139,Ag3As1S3,POSCAR_sg15_icsd_040127
140,Bi2Cu1O4,POSCAR_sg130_icsd_069746
141,Bi2Cu1O4,POSCAR_sg79_icsd_012104
142,C3H12B10O2,POSCAR_sg14_icsd_170733
143,Ba1Ge4Rh2S6,POSCAR_sg61_icsd_238008
144,Er2Sn5,POSCAR_sg59_icsd_167894
145,B3Mo1,POSCAR_sg166_icsd_167734
146,Au2Ba9O12,POSCAR_sg62_icsd_071673
147,Mn1O6Pt3,POSCAR_sg65_icsd_035337
148,Ba1Ca1O9P2V1,POSCAR_sg14_icsd_406666
149,As1F5,POSCAR_sg194_icsd_065477
150,As1F9O3S1Xe2,POSCAR_sg14_icsd_200036
151,O21P6U2,POSCAR_sg9_icsd_086551
152,B12Cl12,POSCAR_sg205_icsd_421891
153,Ba1Mn2O8,POSCAR_sg70_icsd_024128
154,B4La2Ni5,POSCAR_sg12_icsd_170608
155,C17H36N8O2S5U1,POSCAR_sg14_icsd_248915
156,Br1Cu1La1Nb2O7,POSCAR_sg123_icsd_088033
157,Cs1F11Sb2,POSCAR_sg14_icsd_415751
158,P2Rb4Se9,POSCAR_sg15_icsd_415020
159,Ca2Li2O13Si5,POSCAR_sg2_icsd_079379
160,C3H9Hg1I3S1,POSCAR_sg14_icsd_193186
161,P2S6Tl2,POSCAR_sg71_icsd_038255
162,Li1Rh3Sn5,POSCAR_sg57_icsd_415529
163,H3Cl5N4O1S4Sn1,POSCAR_sg14_icsd_059119
164,Cl4Cs3Li1,POSCAR_sg38_icsd_245969
165,H36Li2Na4O46V10,POSCAR_sg2_icsd_170991
166,In2Li3,POSCAR_sg166_icsd_659829
167,Ag3Na1S2,POSCAR_sg227_icsd_073198
168,C16H8Al1F36Li1O8,POSCAR_sg82_icsd_260275
169,Fe5O12Tb3,POSCAR_sg148_icsd_080550
