,composition_name,kappa
215,SbCrSe3,1.0
216,Tl2Te,0.35
217,Al2Fe3Si3,6.0
218,Cu2S1,0.03
219,Ca2Fe2O5,3.0
220,ST50H,2.34
221,K3AuO,0.54
222,SmSe2,1.83
223,SmB66,2.6
224,Yb11InSb9,0.6
225,PbRb4Br6,0.51
226,Cu3NbS4,2.91
227,Li2TlBi,2.36
228,Ag25Bi25Se50,0.7
229,YAlB14,3.2
230,Bi2Te3,1.238
231,In20Sb20Cu,6.88
232,ZnIn2Te4,2.1
233,Bi2Se3,1.275
234,Ga2Te3,0.6
235,K2Ti6O13,0.017
236,SnBi2Te4,0.555
237,Cu12Sb4Se13,0.24
238,AgSbTe2,0.6
239,Ca3Co4O9,1.67
240,SrZn2Sb2,2.25
241,Ce2Ni3Si5,5.5
242,Ti2SC,60.0
243,PrCu2Au3,0.2
244,Sr3GaSb3,0.45
245,Ag8SnSe6,0.2
246,LaFe3CoSb12,0.9
247,Cu3SbS4,0.8
248,CuAg3Se2,1.4
249,Sr8Ga16Ge30,0.9
250,Na2BiSbSe4,0.4
251,Eu11Cd6Sb12,0.635
252,CuGaSe2,3.3
253,Cu2SnSe3,0.81
254,AgCrSe2,0.45
255,Mo3Sb7,7.37
256,FeSb2,216.04
257,Lu2Zr2O7,2.6
258,Tl9BiTe6,0.39
259,Ba24Ag6Ge94,0.71
260,REB44Si2,2.0
261,La7Nb7,4.73
262,CrSi2,5.0
263,Fe2VAl,16.2
264,NdMo8O14,3.19
265,Mg3Sb2,1.225
266,Cu5FeS4,1.7
267,K8Si46,5.2
268,CaCo2O4,6.3
269,Ba2FeBiSe5,2.6
270,Ag8GeTe6,0.3
271,CS2,0.97
272,AgSn10SbSe2Te10,0.6
273,AgNO3,0.041
274,BaSi2,0.67
275,Cu2Ga4Te7,0.67
276,SrHfO3,5.2
277,PtSe2,16.97
278,Sb2Si2Te6,0.49
279,Bi2O2Se,0.75
280,Bi2S3,0.86
281,BaTiS3,0.39
282,Ag0Cl0,1.255
283,Ba2Co9O14,3.2
284,BaCu2SnSe4,0.31
285,Zr2CO2,86.25
286,RhSb3,5.9
287,Ge20Te80,0.1
288,Cu2ZnSnSe4,0.11
289,CeAl3,13.0
290,Ba8Cu14Ge6P26,0.735
291,Ca3PbO,1.23
292,Zn4Sb3,1.0550000000000002
293,Ti10Ru19B8,8.0
294,Mg3SbBi,2.1
295,Gd2Zr2O7,2.0
296,CuInTe2,5.05
297,Si2Te3,0.37
298,Al2O3,10.0
299,MoS2,52.0
300,Tl2NdAg3Te4,0.36
301,MoB2,11.54
302,Cu3BiS3,0.17
303,Bi4Ti3O12,1.0
304,TlSbTe2,1.4
305,As2Te3,0.7
306,MgAl2O4,8.1
307,Sb2Te3κ0,1.78
308,BaCeO3,1.0
309,BaB6,12.0
310,In5Sb5Cu,10.4
311,TiO2,3.675
312,Cu26V2Ge6S32,0.33
313,Ca3AlSb3,0.95
314,Gd2CuO4,30.0
315,YbZn2Sb2,3.0999999999999996
316,FeGa3,3.5
317,CoSb3,9.5
318,Ni3GaSb,3.2
319,AgIn5Te8,0.5
320,Cu4Mn2Te4,2.07
321,Ag9TlTe5,0.22
322,BaRuO3,3.7
323,Mg2Sn,5.3
324,AgBi3S5,1.0
325,Mg2Si,10.0
326,AgPbBiSe3,0.45
327,Ba8Ge16Ge30,1.0
328,5RE2Zr2O7,0.86
329,BaAg2SnSe4,0.405
330,Bi2YO4Cu2Se2,1.8
331,Bi85Sb12Pb3,1.7
332,Ag10Te4Br3,0.35
333,AgSbO3,1.1
334,AgGaTe2,1.7999999999999998
335,Cu12Sb2Te2S13,0.625
336,Rb2Mo15Se19,1.5
337,SrOCuSbSe2,0.38
338,Cu2CdSnSe4â,0.56
339,NaCoO2,43.97
340,Ag2Sb2O6,0.824
341,MnSb2Se4,1.4
342,Yb2MgSi2,8.0
343,SrAl2Si2,13.0
344,Cs2BiAgCl6,0.078
345,Ba8Cu6Si40,1.26
346,Tl9SbTe6,0.62
347,BaCd2Sb2,0.95
348,NiSe2,24.215
349,CrGeTe3,2.32
350,BaBiTe3,0.7
351,CO3O4,1.6
352,Sb2Se3,1.0
353,HgInTe2,5.4
354,LaOBiPbS3,0.19
