compound,icsd,sg,Eg (eV),m*b (vb),m*b (cb),Nb (vb),Nb (cb),kL,mob (h),mob (e),beta (p),beta (n),cite
As3Ca4,252055,,0.91,0.69,0.58,1,2,1.93,8.44,11.1,3.14,7,Zintl
As3Ca5,43877,,5.66,1.49,3.57,4,2,2.15,2.6,0.7,6.92,2.05,Zintl
As3Cd4Cs1,262029,,0.2,0.26,0.13,3,2,0.99,20.92,63.66,18.97,19.74,Zintl
As3Cd4K1,262032,,1.08,0.38,0.52,3,3,1.57,16.01,10.09,12.87,10.69,Zintl
As3Cd4Na1,262035,,1.35,0.39,0.46,3,5,1.53,15.61,12.32,13.18,19.98,Zintl
As3Cd4Rb1,262037,,1.01,0.41,0.49,3,3,1.61,14.8,11.32,12.27,11.02,Zintl
As3Cs1Zn4,262030,,1.48,0.69,0.71,4,3,1.31,6.36,6.02,13.82,10.14,Zintl
As3Cs5Ge1,65718,,0.14,1.42,0.14,4,1,0.62,0.6,18.97,5.36,5.32,Zintl
As3Cs5Si1,65716,,0.14,1.38,0.14,4,1,0.65,0.67,21.76,5.5,5.53,Zintl
As3Cs6In1,300145,,0.09,3.23,0.09,4,1,0.61,0.2,45.26,3.74,8.18,Zintl
As3Ga1Na6,300276,,0.03,3.47,0.03,2,1,1.5,0.42,572.85,1.73,15.46,Zintl
As3Ga2Na2,300194,,0.03,1.59,0.03,4,1,1.84,2.51,824.52,8.28,21.02,Zintl
As3Ge1K1Na4,300204,,0.45,1.78,0.21,4,3,2.39,2.71,64.71,7.6,20.28,Zintl
As3In2K2,300198,,0.05,0.52,0.05,4,1,1.16,6.77,238.59,13.05,13.56,Zintl
As3In2K3,300199,,0.04,2.74,0.04,2,1,1.17,0.57,379.33,2.41,16.27,Zintl
As3K5Pb3,55419,,1.37,0.44,0.66,1,3,0.81,5.3,2.85,3.11,7.29,Zintl
As3Na1Zn4,262036,,0.11,0.35,0.03,4,7,5.39,43.48,1733.14,12.59,96.21,Zintl
As3Na5Sn1,656058,,0.02,0.78,0.02,2,1,1.46,4.44,1047.02,4.86,21.62,Zintl
As3Rb1Zn4,262038,,0.81,0.85,0.39,4,3,1.35,4.6,14.82,11.77,14.1,Zintl
As3Rb5Si1,300191,,0.1,2.1,0.1,2,1,0.85,0.47,48.44,2.16,6.88,Zintl
As3Sn4,15735,,7.23,0.69,1.38,5,12,1.9,8.63,3.06,16.3,25.85,Zintl
As3Sr1,611440,,1.81,0.55,0.62,10,5,1.97,11,9.32,32.67,15.29,Zintl
As3Sr2Zn2,262413,,0.35,0.81,0.22,1,2,1.64,7.48,53.33,3.77,16.54,Zintl
As3Sr4,402110,,0.76,0.76,0.48,1,2,1.45,6.06,11.97,3.24,8.51,Zintl
As3Yb4,611589,,6.28,1.69,1.45,9,9,6.12,10.67,13.38,25.12,27.5,Zintl
As4Ba3Cd2,424761,,1.03,0.35,0.41,6,4,1.34,23.28,18.25,40.3,24.37,Zintl
As4Ba3Li4,280027,,0.8,0.18,0.32,6,4,1.41,57.06,23.93,50.95,24,Zintl
As4Ba3Si2,41183,,0.24,2.18,0.24,3,1,1.63,1.37,36.88,5.08,6.32,Zintl
As4Ba3Sn2,30702,,1.84,0.71,0.73,2,4,1.33,6.78,6.57,7.5,14.81,Zintl
As4Ba4Si1,26467,,4.48,1.18,1.53,11,5,1.42,3.62,2.45,32.47,12.62,Zintl
As4Ca3Ge2,16455,,1.13,0.33,0.71,1,2,1.97,28.6,9.11,5.39,6.82,Zintl
As4Ca3In2,61336,,0.02,0.23,0.02,1,1,2.19,46.53,1528.88,5.67,22.91,Zintl
As4Ca3Si2,16456,,0.9,0.44,0.57,1,2,2.29,19.94,13.86,4.2,7.26,Zintl
As4Cd2Ge1,42132,,0.23,0.3,0.11,2,3,1.99,29.84,137.37,10.16,28.07,Zintl
As4Cd5Rb2,290262,,0.02,0.28,0.01,4,3,1.25,27.94,4297.76,28.26,158.85,Zintl
As4Cs5In3,280723,,3.11,1.56,1.24,4,4,0.85,0.95,1.35,6.71,7.72,Zintl
As4Ga1Na3Sr3,402286,,0.05,0.43,0.05,1,1,1.54,14.06,337.57,4.25,15.14,Zintl
As4Ga2Sr3,423785,,0.39,0.21,0.24,1,2,1.87,51.63,41.47,6.77,12.41,Zintl
As4Ga3K3,40206,,0.03,0.43,0.03,5,1,1.33,10.09,583.71,17.86,18.1,Zintl
As4Ge1Sr4,610619,,1.51,0.61,0.73,3,3,1.59,10.55,8.06,12.68,11.38,Zintl
As4Ge2Sr3,16454,,1.93,0.55,1.21,1,2,1.67,11.98,3.7,4.22,5.27,Zintl
As4Ge3,163833,,0.2,0.92,0.12,2,2,8.62,6.46,129.74,1.39,4.63,Zintl
As4K2Zn5,250687,,0.06,0.4,0.04,4,2,1.64,20.4,772.04,21.67,46.36,Zintl
As4K4Sn1Sr2,411104,,0.07,0.56,0.07,2,1,1.29,6.26,138.36,5.82,10.04,Zintl
As4Mg1,1079,,2.11,0.23,1.33,5,2,2.5,46.33,3.39,24.95,3.51,Zintl
As4Na5,182165,,4.08,0.72,0.88,7,10,1.44,4.98,3.67,17.88,22.58,Zintl
As4Rb2Zn5,250688,,0.05,0.44,0.03,4,2,1.24,12.03,568.5,18.59,43.46,Zintl
As4Si1Sr4,611409,,1.96,1.03,0.94,3,3,1.67,4.91,5.6,9.07,9.56,Zintl
As4Si2Sr3,16453,,0.26,0.63,0.26,1,1,1.94,10.04,37.39,3.39,5.74,Zintl
As4Si3,163832,,0.28,0.75,0.18,2,2,15.39,10.64,93.21,1.07,2.55,Zintl
As4Sn3,163834,,0.03,1.4,0.03,2,1,5.18,2.62,687.46,1.37,6.34,Zintl
As4Sr3,100110,,0.36,1.71,0.23,4,2,1.44,1.96,40.78,8.83,14.86,Zintl
As5Ba2In5,161775,,0.18,0.78,0.11,2,2,1.58,7.96,149.42,8.09,26.13,Zintl
