compound,icsd,sg,Eg (eV),m*b (vb),m*b (cb),Nb (vb),Nb (cb),kL,mob (h),mob (e),beta (p),beta (n),cite
Ag1Al1S2,604698,122,2.32,3.498,0.066,2,1,8.41,1.07,415.21,0.72,3.9,Non-Zintl
Ag1Al1S2,28744,122,2.32,3.541,0.068,2,1,10.57,1.05,398.89,0.71,3.83,Non-Zintl
Ag1Al1S2,604692,122,2.32,3.563,0.066,2,1,8.49,1.04,414.62,0.71,3.88,Non-Zintl
Ag1Al1S2,25356,156,1.86,1.734,0.046,3,1,31.25,3.77,880.11,1.37,4.03,Non-Zintl
Ag1Al1S2,604694,122,2.32,3.61,0.067,2,1,9.36,1.02,400.72,0.7,3.83,Non-Zintl
Ag1Al1Se2,604704,122,1.53,2.02,0.036,1,1,5.13,2.05,860.2,0.58,6.5,Non-Zintl
Ag1Al1Te2,28746,122,1.32,0.594,0.034,1,1,3.6,10.4,749.17,1.29,7.16,Non-Zintl
Ag1Ba1La1Se3,659172,63,1.93,1.042,0.726,3,1,1.51,4.05,6.96,3.49,1.44,Non-Zintl
Ag1Ba1Se3Y1,78177,63,1.64,0.607,0.504,2,1,1.91,10.29,13.63,3.07,1.72,Non-Zintl
Ag1Ba1Te3Y1,88717,63,1.05,0.328,0.413,2,1,1.48,23,16.31,4.59,2,Non-Zintl
Ag1Ba2In1S4,183654,14,1.87,1.448,0.118,4,1,1.5,2.34,100.24,4.73,5.32,Non-Zintl
Ag1Cd2Ga1S4,170108,31,1.29,0.781,0.032,2,1,4.03,9.22,1136.15,2.41,8.26,Non-Zintl
Ag1Cd2Ga1S4,90459,31,1.29,0.784,0.033,2,1,4.41,9.17,1060.39,2.4,8.03,Non-Zintl
Ag1Cr1S2,24797,160,0.88,1.411,0.637,1,1.5,25.09,4.87,16.06,0.55,1.34,Non-Zintl
Ag1Cr1S2,42395,160,0.87,1.386,0.64,1,1.5,25.19,5.01,15.97,0.56,1.33,Non-Zintl
Ag1Cr1S2,604981,160,0.88,1.405,0.652,1,1.5,7.26,4.9,15.5,0.55,1.32,Non-Zintl
Ag1Cr1S2,42396,160,0.86,1.252,0.63,1,1.5,25.02,5.81,16.28,0.59,1.34,Non-Zintl
Ag1Cr1Se2,68423,160,0.19,0.619,0.233,1,4,14.44,13.82,59.87,1.05,7.54,Non-Zintl
Ag1Cu1S1,30233,63,0.65,0.42,0.759,2,1,3.24,12.89,5.31,4.14,1.45,Non-Zintl
Ag1Cu1S1,66582,26,0.64,0.739,0.528,2,1,1.2,3.29,5.45,4.14,2.53,Non-Zintl
Ag1Cu1S1,66581,26,0.64,0.496,0.527,4,1,1.24,6.15,5.62,10.44,2.52,Non-Zintl
Ag1Cu1S1,66580,36,0.64,0.414,0.756,2,1,3.19,12.91,5.24,4.17,1.45,Non-Zintl
Ag1Fe1S2,56263,122,1.18,0.331,2.783,10,4,7.62,33.7,1.38,16.48,1.84,Non-Zintl
Ag1Fe2Ga1Te4,192470,121,1.25,1.109,0.6,5,1,3.69,4.26,10.7,4.5,1.3,Non-Zintl
Ag1Fe2S3,68347,64,1.39,3.962,2.985,3,4,1.62,0.37,0.57,1.91,3.01,Non-Zintl
Ag1Fe2S3,165661,14,0.95,8.556,2.395,0.5,1.5,2.5,0.18,1.25,0.17,1.11,Non-Zintl
Ag1Ga1S2,23698,122,1.41,0.941,0.043,1,1,6.53,7.35,741.24,0.87,5.52,Non-Zintl
Ag1Ga1S2,605184,122,1.41,0.931,0.043,1,1,6.49,7.43,735.67,0.88,5.53,Non-Zintl
Ag1Ga1S2,605175,122,1.41,0.97,0.045,1,1,6.55,7.04,694.32,0.86,5.37,Non-Zintl
Ag1Ga1S2,605182,122,1.41,0.97,0.045,1,1,6.55,7.04,694.32,0.86,5.37,Non-Zintl
Ag1Ga1S2,605187,122,1.41,0.961,0.044,1,1,6.53,7.12,730.74,0.86,5.49,Non-Zintl
Ag1Ga1S2,605177,122,1.41,0.97,0.044,1,1,6.49,7,715.05,0.86,5.46,Non-Zintl
Ag1Ga1S2,605179,122,1.41,0.97,0.045,1,1,6.55,7.04,694.32,0.86,5.37,Non-Zintl
Ag1Ga1S2,600584,122,1.41,0.958,0.044,1,1,8.13,7.17,725.45,0.86,5.47,Non-Zintl
Ag1Ga1S2,28747,122,1.41,0.935,0.045,1,1,6.53,7.42,695.13,0.88,5.38,Non-Zintl
Ag1Ga1S2,92052,9,1.41,0.953,0.046,1,1,6.53,7.19,688.35,0.87,5.36,Non-Zintl
Ag1Ga1S2,605186,122,1.41,0.961,0.045,1,1,6.49,7.1,700.5,0.86,5.41,Non-Zintl
Ag1Ga1S2,42125,122,1.41,0.959,0.044,1,1,6.51,7.13,734.13,0.86,5.51,Non-Zintl
Ag1Ga1S2,156126,122,1.41,0.959,0.044,1,1,6.53,7.14,725.39,0.86,5.47,Non-Zintl
Ag1Ga1S2,603823,122,1.41,0.987,0.046,1,1,6.49,6.81,687.41,0.85,5.38,Non-Zintl
Ag1Ga1S2,605191,122,1.41,0.971,0.045,1,1,6.49,6.99,704.83,0.86,5.43,Non-Zintl
Ag1Ga1S2,156785,122,1.41,0.958,0.044,1,1,6.53,7.14,726.2,0.86,5.48,Non-Zintl
Ag1Ga1Se2,605211,122,0.63,0.605,0.02,1,1,4.16,11.81,1911.67,1.29,9.91,Non-Zintl
Ag1Ga1Te2,605236,122,0.47,0.429,0.018,1,1,3.24,16.82,1972.85,1.65,11.13,Non-Zintl
Ag1Ge1La3S7,605297,173,2.05,1.25,1.269,4,2,2.28,4.5,4.39,4.2,2.08,Non-Zintl
Ag1Ge1La3S7,80174,173,2.04,1.537,1.247,3,2,2.26,3.3,4.51,2.79,2.11,Non-Zintl
Ag1Hf1Rb1Te3,402632,11,0.52,0.405,0.974,2,1,0.77,8.08,2.16,5.48,1.62,Non-Zintl
Ag1In1S2,605407,122,0.81,0.888,0.036,1,1,5.06,6.89,855.84,0.95,6.53,Non-Zintl
Ag1In1S2,605408,33,0.93,0.618,0.032,3,1,3.18,11.49,978.78,4.39,8.67,Non-Zintl
Ag1In1S2,52577,122,0.81,0.887,0.035,1,1,5.06,6.9,878.15,0.95,6.6,Non-Zintl
Ag1In1S2,156129,122,0.8,0.89,0.036,1,1,5.07,6.87,845.22,0.95,6.5,Non-Zintl
Ag1In1S2,52578,33,0.92,0.595,0.032,3,1,3.19,12.18,979.38,4.49,8.66,Non-Zintl
Ag1In1S2,605418,122,0.8,0.895,0.035,1,1,5.05,6.8,865.85,0.94,6.56,Non-Zintl
Ag1In1S2,605415,122,0.8,0.884,0.036,1,1,5.05,6.93,846.53,0.95,6.5,Non-Zintl
Ag1In1S2,656317,122,0.8,0.882,0.035,1,1,5.08,6.96,893.23,0.95,6.64,Non-Zintl
Ag1In1S2,605413,122,0.8,0.88,0.035,1,1,5.06,6.98,883.38,0.95,6.61,Non-Zintl
Ag1In1S2,51617,122,0.8,0.897,0.035,1,1,5.06,6.79,872.16,0.94,6.58,Non-Zintl
Ag1In1S2,659385,166,0.43,2.191,0.122,2,3,3.37,2.23,170.74,0.96,8.17,Non-Zintl
Ag1In1S2,605420,33,0.93,0.613,0.032,3,1,3.19,11.65,972.39,4.41,8.62,Non-Zintl
Ag1In1S2,600585,122,0.8,0.865,0.035,1,1,5.08,7.17,883.85,0.96,6.61,Non-Zintl
Ag1In1S2,32655,166,0.43,1.57,0.111,3,3,3.56,3.81,202.65,1.73,8.5,Non-Zintl
Ag1In1S2,605417,122,0.8,0.897,0.036,1,1,5.07,6.78,837.97,0.94,6.47,Non-Zintl
Ag1In1S2,28750,122,0.8,0.869,0.035,1,1,5.06,7.11,888.53,0.96,6.63,Non-Zintl
Ag1In1S2,51618,33,0.93,0.611,0.032,3,1,3.19,11.71,956.32,4.42,8.57,Non-Zintl
Ag1In1Se2,28751,122,0.3,0.71,0.017,1,1,3.57,8.33,2341.58,1.2,11.46,Non-Zintl
Ag1In1Te2,605476,122,0.34,0.588,0.016,1,1,2.59,8.94,1949.45,1.43,12.3,Non-Zintl
Ag1In3K2Se6,54859,15,1.21,1.278,0.057,4,1,1.15,1.8,189.05,6.23,10.01,Non-Zintl
Ag1In5Se8,35597,111,0.36,0.702,0.029,12,1,1.71,4.66,562.56,21,11.91,Non-Zintl
Ag1In5Te8,151871,111,0.33,1.9,0.024,3,1,1.41,0.92,651.51,3,13.82,Non-Zintl
Ag1K1Se1,52586,129,0.84,1.622,0.047,2,1,1.04,1.55,317.56,1.54,6.49,Non-Zintl
Ag1K2Nb1S4,84292,70,2.46,0.999,3.724,6,2,1.13,1.67,0.23,7.73,1.17,Non-Zintl
Ag1K2S4V1,66840,70,1.67,0.813,2.669,6,4,1.19,2.44,0.41,8.45,2.76,Non-Zintl
Ag1K2Se4V1,50461,70,1.34,0.802,2.293,4,5,0.95,2.31,0.48,6.71,4.47,Non-Zintl
Ag1La3S7Si1,409845,173,2.18,2.403,2.108,3,2,2.39,1.72,2.1,2.07,1.5,Non-Zintl
Ag1La3S7Si1,605505,173,2.18,2.425,2.115,3,2,2.39,1.7,2.09,2.06,1.49,Non-Zintl
Ag1La3S7Sn1,417316,173,2.03,1.287,1.694,4,2,2.27,3.99,2.64,4.3,1.82,Non-Zintl
Ag1La3Se7Si1,418059,173,1.83,1.303,2.51,4,2,1.75,3.73,1.39,4.6,1.55,Non-Zintl
Ag1La3Se7Sn1,417803,173,1.32,0.735,0.849,1,2,1.77,8.29,6.67,1.69,3.09,Non-Zintl
Ag1Mo3Se3,603624,176,0.19,1.638,1.306,1,2,1.14,1.97,2.77,1.16,2.67,Non-Zintl
Ag1Na3S2,201800,72,2.23,2.954,0.13,2,1,2.23,0.66,71.28,1.02,3.32,Non-Zintl
Ag1Nb1Rb2S4,50463,70,2.5,1.079,3.824,8,2,0.95,1.36,0.2,10.66,1.25,Non-Zintl
Ag1Nb1Rb2Se4,402423,70,2.05,0.762,2.718,8,2,0.75,2.13,0.32,14.88,1.74,Non-Zintl
Ag1Rb1Se4,87463,19,1.19,1.18,1.062,8,2,0.66,0.84,0.99,13.99,3.73,Non-Zintl
Ag1Rb2S4V1,66841,70,1.7,0.865,3.15,8,4,0.99,2.05,0.29,11.78,2.71,Non-Zintl
Ag1Rb2Se4V1,50462,70,1.38,0.761,2.518,6,5,0.82,2.22,0.37,11.03,4.48,Non-Zintl
Ag1Rb3Se8Sn3,416294,125,1.32,3.47,0.238,2,1,0.8,0.24,13.04,1.75,4.37,Non-Zintl
Ag1Sc1Se2,155115,164,1.24,0.367,1.082,2,3,3.26,30.8,6.08,2.76,2.16,Non-Zintl
Ag1Se2Y1,605836,19,1.65,0.419,0.144,1,1,2.04,21.29,105.5,1.98,3.76,Non-Zintl
Ag1Te1,55237,62,0.37,1.071,0.063,4,1,1,2.86,199.07,7.72,10.54,Non-Zintl
Ag1Te2Y1,605920,113,1.13,0.255,0.424,1,2,1.9,36.39,17.02,2.35,3.47,Non-Zintl
Ag2Ba1Ge1S4,10040,121,0.96,0.216,0.071,3,1,2.41,49.14,262.82,7.19,4.69,Non-Zintl
Ag2Ba1S2,50183,164,1.3,0.723,0.059,3,1,2.52,9.13,395.05,3.12,4.69,Non-Zintl
Ag2Ba1S4Sn1,41898,23,0.67,0.207,0.092,3,1,2.31,44.91,152.93,7.85,4.27,Non-Zintl
Ag2Ba1Se4Sn1,170856,23,0.27,0.141,0.082,3,1,1.56,62.37,140.46,11.49,5.3,Non-Zintl
Ag2Ba1Te2,246048,62,0.99,0.689,0.083,1,1,1.16,7.39,176.9,1.84,6.55,Non-Zintl
Ag2Cd1Ge1S4,152753,31,0.95,1.005,0.039,2,1,4.78,6.94,913.76,2.01,7.09,Non-Zintl
Ag2Cd1Ge1S4,423404,33,1.22,1.129,0.039,3,1,2.59,4.59,720.45,3.78,9.51,Non-Zintl
Ag2Fe1S4Sn1,42534,121,0.68,0.857,0.021,1,1.5,5.38,7.46,1887.23,0.96,13.13,Non-Zintl
Ag2Ge1In2S6,159759,9,1.29,1.494,0.07,1,1,2.08,1.86,184.18,1.11,6.98,Non-Zintl
Ag2Ge1K2S4,170843,15,1.89,1.913,0.094,2,1,1.28,0.87,80.74,1.84,5.62,Non-Zintl
Ag2Ge1Pb1S4,180802,40,1.57,0.382,0.797,6,2,1.52,13.19,4.38,16.22,3.48,Non-Zintl
Ag2Ge1S3,41711,36,0.98,1.112,0.053,2,1,6.31,4.65,445.03,1.93,5.99,Non-Zintl
Ag2Hf1S3,79251,64,1.64,0.499,1.04,1,2,2.26,20.37,6.76,2.08,2.67,Non-Zintl
Ag2Hg1S2,201713,14,0.67,0.866,0.041,1,1,3.58,6.18,604.85,1.44,9.03,Non-Zintl
Ag2Hg1Se4Sn1,95094,31,0.02,0.656,0.019,2,1,2,8.58,1736.03,3.37,14.07,Non-Zintl
Ag2In2S6Si1,159758,9,1.33,1.354,0.072,1,1,2.49,2.29,188.31,1.13,6.62,Non-Zintl
Ag2In2Se6Si1,154635,9,0.74,1.101,0.043,1,1,1.45,2.57,328.04,1.5,10.4,Non-Zintl
Ag2K1Nb1Se4,412479,40,1.72,1.855,1.056,1,4,0.7,0.46,1.07,1.17,6.54,Non-Zintl
Ag2K2Se4Sn1,90119,13,1.03,1.948,0.074,3,1,1.05,0.89,121.08,3,7.13,Non-Zintl
Ag2S1,262635,19,0.01,0.453,0.132,2,2,2.42,22.98,146.52,3.99,8.37,Non-Zintl
Ag2S1,98453,4,1.37,0.453,0.443,10,1,0.96,4.98,5.16,26.25,2.66,Non-Zintl
Ag2S1,98454,4,1.54,1.385,0.326,2,2,1.38,1.13,9.89,2.32,5.54,Non-Zintl
Ag2S1,262634,19,0.01,0.457,0.137,2,2,5.69,22.69,138.88,3.91,8.07,Non-Zintl
Ag2S4Si1Zn1,183705,7,2.05,0.943,0.05,1,1,4.01,6.73,549.68,1.08,6.28,Non-Zintl
Ag2S4Sn1Zn1,605734,121,0.58,1.197,0.038,2,1,5.51,4.63,828.42,1.56,6.22,Non-Zintl
Ag3Au1S2,15732,213,0.61,0.414,0.049,2,1,1.42,19.73,490.57,7.17,12.96,Non-Zintl
Ag3Au1Se2,171959,214,0.38,1.002,0.037,5,1,1.21,5.06,702.7,9.02,12.99,Non-Zintl
Ag3Au1Te2,604788,214,0.5,2.831,0.128,2,2,1.07,0.92,95.19,2.01,12.85,Non-Zintl
Ag3Cu1S2,67526,141,0.39,0.57,0.059,4,1,1.16,5.59,167.39,11.42,11.12,Non-Zintl
Ag3Cu1S2,163982,141,0.39,0.57,0.058,4,1,1,4.67,143.46,11.86,11.67,Non-Zintl
Ag3Cu1S2,163983,88,1,0.783,0.095,3,1,1.4,4.18,98.95,6.52,7.71,Non-Zintl
Ag3K1Se2,402643,12,0.28,0.984,0.037,2,1,0.92,2.43,332.66,3.1,11.1,Non-Zintl
Ag3K3Nb2S8,412478,15,2.34,0.924,2.639,8,5,0.97,1.56,0.32,13.62,4.54,Non-Zintl
Ag3Na1S2,73198,227,1.13,1.915,0.06,2,1,1.46,1.28,233.22,2.29,9.17,Non-Zintl
Ag3Rb1S2,1034,12,0.57,1.501,0.062,1,1,1.13,1.59,190.53,1.12,7.61,Non-Zintl
Ag3Rb1Se2,90795,12,0.33,1.043,0.037,2,1,1.11,3.09,456.82,2.76,10.18,Non-Zintl
Ag3Rb1Te2,90872,12,0.55,0.797,0.038,2,1,0.91,4.02,385.67,3.35,10.39,Non-Zintl
Ag4Cd1Ge2S7,95121,9,1.05,1.069,0.044,4,1,3.4,4.73,556.85,5.12,8.63,Non-Zintl
Ag4Ge2Hg1S7,95120,9,0.86,1.076,0.042,4,1,3.05,4.58,596.68,5.38,9.43,Non-Zintl
Ag4K2S3,863,12,0.5,0.547,0.096,1,1,1.31,8.97,122.55,1.97,5.61,Non-Zintl
Ag4K2Se3,54102,12,0.33,0.443,0.06,1,1,1.35,15.05,298.84,2.16,7.14,Non-Zintl
Ag4Rb2S3,409727,12,0.55,0.647,0.098,1,1,1.16,6.3,106.44,1.91,5.91,Non-Zintl
Ag5Ba2La1S6,67894,12,1.75,1.85,0.133,1,1,1.94,2.2,113.78,0.8,3.88,Non-Zintl
Ag6K2S4,73581,227,1.53,1.855,0.09,2,1,1.1,0.84,78.47,2.4,7.36,Non-Zintl
Ag7Nb1S6,84317,7,1.01,2.563,0.045,4,1,1.55,0.76,328.7,4.07,11.51,Non-Zintl
Ag7Nb1S6,84367,7,1.01,2.222,0.045,5,1,1.83,1.11,386.98,5.28,10.99,Non-Zintl
Ag7Rb1S4,71645,85,0.61,1.56,0.082,2,1,1.21,1.67,139.04,3.19,9.34,Non-Zintl
Ag8Se6Sn1,95093,31,0.18,1.181,0.013,2,1,1.72,3.08,2823.43,3.27,25.02,Non-Zintl
AgAlSe2,604706,122,1.51,2.386,0.036,1,1,5.13,1.59,856.28,0.52,6.49,Non-Zintl
AgFeS2,156643,122,1.18,0.35,2.444,10,5,6.29,31.15,1.69,15.85,2.47,Non-Zintl
AgGaTe2,28749,122,0.46,0.437,0.018,1,1,2.89,15.21,1819.87,1.68,11.4,Non-Zintl
AgI,164965,216,1.9,1.046,0.093,3,1,3.83,2.55,96.36,2.27,3.24,Non-Zintl
AgInSe2,659362,122,0.3,0.727,0.016,1,1,3.55,7.96,2436.66,1.18,11.67,Non-Zintl
Al1As1,606009,216,1.5,0.688,0.207,3,3,45.06,14.2,86.23,1.66,3.42,Non-Zintl
Al1As1,67771,186,1.68,0.669,0.148,2,10,22.72,14.76,142.16,1.4,17.33,Non-Zintl
Al1As2K2Na1,73280,72,1.04,1.243,0.04,4,1,1.29,1.84,313.61,3.61,7.05,Non-Zintl
Al1As2Na3,63149,72,0.85,0.885,0.033,8,1,1.89,3.13,444.68,8.94,8.11,Non-Zintl
Al1As3Ca3,32727,62,0.72,0.523,0.27,2,1,2.12,13.98,37.6,3.4,2.53,Non-Zintl
Al1As4Ca3Na3,402309,186,0.95,0.378,0.133,1,1,2.08,18.9,91.08,1.91,3.58,Non-Zintl
Al1Au1O2,95663,194,0.88,2.774,0.204,2,1,18.86,4.28,215.06,0.97,2.33,Non-Zintl
Al1Ba1La1O4,62490,19,4.29,3.23,5.472,5,5,9.21,2.06,0.94,2.9,2.11,Non-Zintl
Al1Ba3Sb3,32728,64,0.51,0.388,0.227,3,3,1.16,14.94,33.44,7.41,10.23,Non-Zintl
Al1Be1La3S7,606164,173,2.233,0.976,3.99,1,2,2.34,2.09,0.74,0.258,1,Non-Zintl
Al1Ca3N3,410579,14,2.47,6.176,0.093,3,1,7.59,0.72,389.81,0.9,3.72,Non-Zintl
Al1Ca3Sb3,36363,62,0.23,0.264,0.198,2,2,1.59,32.78,50.53,5.62,6.68,Non-Zintl
Al1Cd1La3S7,606339,173,2.38,2.963,2.251,2,4,2.8,1.15,1.73,1.25,2.94,Non-Zintl
Al1Co1S7Y3,606649,173,1.48,4.924,4.816,2,2,3.27,0.63,0.65,0.82,0.83,Non-Zintl
Al1Cu1O2,32633,166,2.2,3.066,0.279,5,1,56.12,3.51,128.19,1.43,1.21,Non-Zintl
Al1Cu1O2,95661,194,2.22,2.594,0.317,8,1,28.87,4.5,104.97,3.14,1.39,Non-Zintl
Al1Cu1S2,42124,122,2.28,1.193,0.057,1,1,13.67,6.79,649.63,0.61,3.79,Non-Zintl
Al1Cu1S2,165738,122,2.27,1.207,0.055,1,1,13.72,6.67,691.69,0.61,3.88,Non-Zintl
Al1Cu1S2,607072,122,2.28,1.234,0.055,1,1,13.67,6.45,677.88,0.6,3.85,Non-Zintl
Al1Cu1S2,603538,122,2.28,1.196,0.056,1,1,13.7,6.77,665.61,0.61,3.82,Non-Zintl
Al1Cu1S2,607076,122,2.27,1.204,0.056,1,1,13.72,6.69,666.68,0.61,3.82,Non-Zintl
Al1Cu1S2,28733,122,2.28,1.215,0.055,1,1,13.7,6.61,680.06,0.6,3.85,Non-Zintl
Al1Cu1S2,607081,122,2.28,1.188,0.057,1,1,13.7,6.84,648.26,0.61,3.78,Non-Zintl
Al1Cu1S2,607074,122,2.27,1.191,0.058,1,1,13.72,6.8,640.74,0.61,3.76,Non-Zintl
Al1Cu1Se2,600586,122,1.41,0.856,0.03,1,1,7.25,9.08,1368,0.91,6.74,Non-Zintl
Al1Cu1Te2,28735,122,1.36,0.345,0.031,3,1,4.67,27.84,1058.06,5.13,7.33,Non-Zintl
Al1Fe1S7Y3,607623,173,1.76,2.147,5.183,2,1,3.36,2.15,0.57,1.34,0.4,Non-Zintl
Al1In1S3,8257,169,2.36,2.944,0.094,8,1,2.34,0.62,108.72,5.63,5.55,Non-Zintl
Al1In1Se3,608233,169,1.64,2.892,0.049,4,1,1.6,0.57,256.79,3.41,9.82,Non-Zintl
Al1K1O2,151883,92,3.78,2.3,0.129,1,1,4.5,2.42,182.3,0.48,2.73,Non-Zintl
Al1K1O4Si1,83449,159,4.51,3.658,0.16,2,1,3.12,0.95,103.98,0.75,2.45,Non-Zintl
Al1K1O8Si3,83534,2,4.9,8.388,0.155,1,1,4.46,0.25,99.39,0.28,3.02,Non-Zintl
Al1K1Sb4,300157,62,0.21,0.26,0.085,1,2,1.03,17.66,94.39,3.49,13.63,Non-Zintl
Al1K1Te2,44703,140,1.7,0.852,0.217,4,1,0.91,2.59,20.09,5.13,2.91,Non-Zintl
Al1K2Na1P2,73279,72,1.52,1.269,0.067,4,1,1.68,1.96,161.43,3.02,4.41,Non-Zintl
Al1K3O3,166540,12,2.94,5.534,0.169,4,1,3.41,0.34,64.59,1.32,2.67,Non-Zintl
Al1K6Na3Sb4,401209,194,0.75,0.714,0.059,7,1,1.15,3.36,143.04,11.5,7.37,Non-Zintl
Al1La1O3,170772,221,3.85,2.452,25.453,3,2,5.5,5.91,0.18,1.06,0.17,Non-Zintl
Al1La1O3,180418,69,3.91,0.623,19.875,12,3,10.11,43.85,0.24,12.21,0.38,Non-Zintl
Al1La1O3,180416,140,3.91,0.609,19.914,12,3,10.12,45.44,0.24,12.38,0.38,Non-Zintl
Al1La1O3,90531,167,3.94,1.93,21.286,3,3,6.01,7.99,0.22,1.55,0.37,Non-Zintl
Al1La1O3,153835,221,3.85,2.916,25.539,3,2,5.8,4.57,0.18,0.95,0.17,Non-Zintl
Al1La1O3,180415,15,3.94,1.814,21.129,3,3,5.7,8.77,0.22,1.61,0.37,Non-Zintl
Al1La1O3,180175,161,3.94,1.881,21.327,3,3,6.08,8.28,0.22,1.58,0.37,Non-Zintl
Al1La1O3,28629,160,3.85,2.932,25.563,3,2,5.5,4.52,0.18,0.95,0.17,Non-Zintl
Al1La1O3,180417,74,3.92,1.054,20.051,7,3,7.35,19.83,0.24,5.21,0.38,Non-Zintl
Al1La3Mg1S7,608298,173,2.44,1.066,3.098,3,2,3.15,5.51,1.11,3.25,1.14,Non-Zintl
Al1La3Mn1S7,608303,173,2.19,3.95,4.157,3,4,3.14,0.79,0.73,1.51,1.95,Non-Zintl
Al1La3S7Ti1,608322,173,0.1,2.528,1.962,2,3,3.65,1.75,2.56,1.25,2.18,Non-Zintl
Al1La3S7Zn1,608324,173,2.39,1.13,2.725,3,4,2.93,4.97,1.33,3.23,2.54,Non-Zintl
Al1Li1S2,608360,33,4.126,1.315,0.118,6,1,6.49,5.45,134.63,6.934,2.764,Non-Zintl
Al1Mn1S7Y3,608513,173,2.23,3.201,1.957,2,2,3.03,1.1,2.3,1.07,1.44,Non-Zintl
Al1Mo4S8,608603,216,0.69,8.064,14.927,0.5,0.5,15.07,0.42,0.17,0.13,0.09,Non-Zintl
Al1Mo4S8,36561,216,0.69,8.132,14.836,0.5,0.5,15.07,0.41,0.17,0.13,0.09,Non-Zintl
Al1Mo4S8,36562,216,0.69,8.086,14.796,0.5,0.5,15.07,0.41,0.17,0.13,0.09,Non-Zintl
Al1Mo4S8,36564,160,0.67,5.343,15.288,1,0.5,18.43,0.86,0.18,0.31,0.08,Non-Zintl
Al1N1,163950,194,3.29,0.288,0.072,1,1,66.54,154.92,1234.8,0.89,2.03,Non-Zintl
Al1N1,82789,216,3.31,2.921,0.114,3,3,315.62,4.66,604.83,0.51,3.56,Non-Zintl
Al1N1,42001,186,4.08,1.252,0.061,1,1,152.97,16.56,1521.23,0.35,2.15,Non-Zintl
Al1N1,163951,63,3.3,0.29,0.074,1,1,66.47,153.16,1185.96,0.88,2,Non-Zintl
Al1N1,41358,225,4.44,1.173,0.12,3,3,95.73,23.79,726.54,0.94,3.69,Non-Zintl
Al1Na1O2,79404,33,3.82,6.301,0.111,2,1,10.43,0.6,255.01,0.52,2.95,Non-Zintl
Al1Na1O2,22216,166,4.75,4.804,0.113,3,1,16.79,1.49,413.5,0.61,1.92,Non-Zintl
Al1Na1O4Si1,34884,198,4.5,7.158,0.166,4,1,10.46,0.45,126.49,1.07,2.55,Non-Zintl
Al1Na1O6Si2,162531,15,5.22,2.921,0.108,3,1,13.83,2.87,402.11,1.29,3.11,Non-Zintl
Al1Na1Se2,44704,140,2.15,0.308,0.055,5,1,1.45,18.65,243.88,10.28,5.75,Non-Zintl
Al1Na1Te2,44701,140,1.29,0.377,0.14,7,1,1.04,10.81,47.83,14.37,3.72,Non-Zintl
Al1Na3P2,402081,72,1.35,0.972,0.065,8,1,3.24,3.27,190.99,6.74,4.28,Non-Zintl
Al1Ni1S7Y3,608836,173,1.45,3.514,4.869,3,3,3.37,1.07,0.66,1.49,1.22,Non-Zintl
Al1O2Rb1,28373,227,3.37,4.174,0.156,3,1,3.07,1.29,177.17,0.83,1.99,Non-Zintl
Al1O3Sc1,86931,62,4.95,1.766,2.314,1,5,29.42,10.29,6.86,0.54,2.29,Non-Zintl
Al1O3Y1,83028,62,5.78,1.074,1.092,15,1,11.45,19.63,19.14,12.37,0.82,Non-Zintl
Al1O3Y1,167509,62,5.78,1.487,1.067,9,1,11.73,12.05,19.82,6.1,0.83,Non-Zintl
Al1O3Y1,27100,194,3.37,0.916,0.118,4,1,23.89,22.29,484.58,2.74,2.35,Non-Zintl
Al1O4Rb1Si1,4335,33,4.41,4.103,0.133,2,1,2.4,0.59,101.3,1.02,3.99,Non-Zintl
Al1P1,609019,216,1.63,0.833,0.182,3,3,111.51,13.04,127.5,1.12,2.79,Non-Zintl
Al1P1,67770,186,1.96,0.797,0.27,2,3,55.18,13.9,70.55,0.95,2.74,Non-Zintl
Al1P3Si1,10032,62,0.3,0.342,0.081,2,2,8.1,49.46,426.7,2.93,6.95,Non-Zintl
Al1Rb6Sb3,300217,11,0.29,2.804,0.071,1,1,0.75,0.29,70.87,0.82,7.46,Non-Zintl
Al1S2Tl1,609264,15,1.957,0.47,0.181,1,8,1.14,0.11,33.24,0.007,39.306,Non-Zintl
Al1Sb1,24804,216,1.23,0.478,0.119,3,11,59.48,27.77,224.41,1.92,16.22,Non-Zintl
Al1Sb1,52651,216,1.23,0.478,0.119,3,11,59.48,27.77,224.4,1.92,16.22,Non-Zintl
Al1Sb3Sr3,52652,64,0.55,0.415,0.315,3,1,1.39,15.32,23.11,6.71,2.64,Non-Zintl
Al1Si1Te3,75001,147,1.26,1.034,0.736,7,3,0.46,0.57,0.95,12.37,6.5,Non-Zintl
Al2As3K3,60950,11,1.2,1.205,0.068,1,1,1.17,1.5,111.13,1.08,6.05,Non-Zintl
Al2As4Sr3,423787,15,1.16,0.27,0.22,1,2,2.16,37.46,50.95,2.36,5.33,Non-Zintl
Al2Ba1O4,21080,182,3.94,5.893,0.138,3,1,3.84,0.7,197.25,0.89,2.82,Non-Zintl
Al2Ba1Te4,41165,125,1.55,1.07,0.153,3,1,1.11,2.2,40.85,3.83,4.11,Non-Zintl
Al2Ca1O4,172780,11,5.03,1.957,0.123,1,1,11.44,6.58,417.6,0.47,2.46,Non-Zintl
