,sorted_name,Model,Model_Type,Specifier,Value,Temperature_Value,Value_Average,Temperature_Average
877,MoSe2,ThermCond,lattice,phonon thermal conductivity,[17.6],[295],17.6,295.0
878,MoS2,ThermCond,total,thermal conductivities,[52.0],[295],52.0,295.0
880,BiCuOSe,ThermCond,total,thermal conductivity,[0.89],[300.0],0.89,300.0
881,Bi21Ca2Cu25Li2O25Se25,ThermCond,total,κtot,[1.39],[300.0],1.39,300.0
882,BiCuOSe,ThermCond,lattice,κL,[0.6],[873.0],0.6000000000000001,873.0
883,Bi44Ca3Cu50Li3O50Se50,ThermCond,lattice,κL,[0.54],[873.0],0.54,873.0
884,Bi44Ca3Cu50Li3O50Se50,ThermCond,lattice,lattice thermal conductivity,[0.54],[873.0],0.54,873.0
885,La2Mo2O9,ThermCond,total,κ,"[0.7, 0.8]","[373.0, 1273.0]",0.75,823.0
886,La2Mo2O9,ThermCond,total,κ,[0.82],[373.0],0.8200000000000001,373.0
887,Nb2O7Sr2,ThermCond,total,κ,"[1.5, 1.7]","[373.0, 1273.0]",1.6,823.0
888,S2Ti,ThermCond,total,thermal conductivity,[2.11],[623.0],2.11,623.0
889,Cu8FeIn7S16,ThermCond,total,thermal conductivity,[1.37],[570.0],1.37,570.0
890,Cu8FeIn7S16,ThermCond,total,thermal conductivity,[1.37],[570.0],1.37,570.0
891,CuInS2,ThermCond,total,κTot,[5.71],[295],5.71,295.0
892,Cu8FeIn7S16,ThermCond,total,κTot,[2.95],[295],2.95,295.0
893,CuInS2,ThermCond,total,κTot,[1.28],[860.0],1.28,860.0
894,Bi85Pb3Sb12,ThermCond,total,minimum thermal conductivity,[1.7],[150.0],1.7000000000000002,150.0
895,Bi85Pb3Sb12,ThermCond,total,thermal conductivities,[1.7],[150.0],1.7000000000000002,150.0
896,Cu2S,ThermCond,total,thermal conductivity,[0.5],[773.0],0.5,773.0
897,Ni,ThermCond,total,thermal conductivity,[150.0],[1233.0],150.0,1233.0
