,sorted_name,Model,Model_Type,Specifier,Value,Temperature_Value,Value_Average,Temperature_Average
21349,PbS,Conductivity,,electrical conductivity,[0.03],[295],0.03,295.0
21350,PbSe,Conductivity,,conductivity,[0.08],[295],0.08,295.0
21351,PbS,Conductivity,,electrical conductivity,[2.5],[295],2.5,295.0
21352,PbSe,Conductivity,,σ,[301.0],[295],301.0,295.0
21353,PbS,Conductivity,,electrical conductivities,[0.03],[295],0.03,295.0
21354,PbS,Conductivity,,electrical conductivities,[1.1],[423.0],1.1,423.0
21355,Te,Conductivity,,maximum electrical conductivity,[42.0],[393.0],42.0,393.0
21356,Te,Conductivity,,electrical conductivity,[744.0],[623.0],744.0,623.0
21357,Bi2Te3,Conductivity,,σ,[69700.0],[300.0],69700.0,300.0
21358,Bi199MgTe300,Conductivity,,σ,[123700.0],[300.0],123700.0,300.0
21359,CuInTe2,Conductivity,,electrical conductivity,[14431.0],[300.0],14431.0,300.0
21360,AgCrSe2,Conductivity,ionic,ionic conductivity,[0.030000000000000002],[295],0.03,295.0
21361,AgCrSe2,Conductivity,ionic,superionic conductivity,[0.030000000000000002],[295],0.03,295.0
21362,DEOPT,Conductivity,,electrical conductivity,"[80.0, 8000.0]",[295],4040.0,295.0
21363,DEOPT,Conductivity,,conductivity,[30000.0],[295],30000.0,295.0
21364,DEOPT,Conductivity,,electrical conductivity,[20.0],[295],20.0,295.0
21365,DEOPT,Conductivity,,electrical conductivity,[45100.0],[300.0],45100.0,300.0
21366,BCF5582S,Conductivity,ionic,ionic conductivity,[1.7999999999999998],[973.0],1.8,973.0
21367,BCF5582S,Conductivity,,electrical conductivity,[1000.0],[295],1000.0,295.0
21369,DEOPT,Conductivity,,electrical conductivity,[80.0],[295],80.0,295.0
21370,DEOPT,Conductivity,,highest electrical conductivity,[269300.0],[298.0],269300.0,298.0
